Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
EPIC 211418729,,08 31 31.91,+11 55 20.15,,,2.07,0.04,GAIADR2,5027.0,62.0,4.48,0.04,,,,,0.41,0.04,0.85,0.06,Shporer et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1708.07128,0,2018-07-30,,
EPIC 211442297,,08 26 12.83,+12 16 54.97,,,2.39,0.02,GAIADR2,5560.0,56.0,4.46,0.06,,,,,-0.22,0.03,0.86,0.06,Shporer et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1708.07128,0,2018-07-30,,
EPIC 228754001,,12 08 39.94,-08 44 49.83,,,1.61,0.05,GAIADR2,4878.0,70.0,3.35,0.15,,,,,-0.11,0.05,1.33,0.17,Jones et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.00779,0,2018-07-30,,
GJ 9827,,23 27 04.83,-01 17 10.58,10.4,,33.69,0.06,GAIADR2,4255.0,110.0,4.7,0.15,,,,,-0.28,0.12,0.58,0.05,Niraula et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1709.01527,0,2018-07-30,,
HATS-43,,05 22 9.160,-30 58 15.00,13.59,0.03,2.73,0.02,GAIADR2,5099.0,61.0,4.54,0.04,,,0.75,0.03,0.05,0.04,0.8,0.05,Brahm et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.07093,0,2018-07-30,,
HATS-44,,05 37 18.41,-27 58 21.40,14.43,0.01,2.21,0.02,GAIADR2,5080.0,100.0,4.51,0.04,,,0.74,0.05,0.32,0.07,0.84,0.06,Brahm et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.07093,0,2018-07-30,,
HATS-45,,06 47 58.63,-21 54 38.50,13.31,0.05,1.27,0.02,GAIADR2,6450.0,110.0,4.3,0.04,,,1.69,,0.02,0.07,1.28,0.14,Brahm et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.07093,0,2018-07-30,,
HATS-46,,00 26 48.58,-56 18 58.00,13.63,0.05,2.17,0.02,GAIADR2,5495.0,69.0,4.54,0.04,,,0.93,0.03,-0.06,0.05,0.86,0.06,Brahm et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1707.07093,0,2018-07-30,,
HD 208897,208897,21 58 59.69,+19 01 13.09,6.51,0.01,14.79,0.05,GAIADR2,4860.0,100.0,3.13,0.1,,,1.28,0.2,0.21,0.15,1.66,0.19,Yilmaz et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1708.01895,0,2018-07-30,,
Kepler-1649,,19 30 0.910,+41 49 49.52,,,10.82,0.06,GAIADR2,3240.0,61.0,4.98,0.22,,,,,-0.15,0.11,0.36,0.03,Angelo et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1704.03136,0,2018-07-30,M5,
Kepler-1650,,19 50 55.02,+42 52 0.910,,,7.41,0.04,GAIADR2,3410.0,50.0,,,,,,,-0.11,0.09,,,Mann et al. 2017,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1705.01545,0,2018-07-30,M dwarf,
