Star,HD,RA,dec,Vmag,Vmagerr,par,parerr,source,teff,tefferr,logg,loggerr,logglc,logglcerr,vt,vterr,feh,feherr,mass,masserr,Author,link,flag,updated,Comment,tmp
HD 46375,46375,06 33 12.62,+05 27 46.52,7.84,,33.81,0.04,GAIADR2,5305.0,50.0,4.39,0.09,,,0.87,0.08,0.23,0.03,0.91,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HD  46375
HD 47186,47186,06 36 08.78,-27 37 20.26,7.63,0.01,26.67,0.03,GAIADR2,5675.0,21.0,4.36,0.04,,,0.93,0.02,0.23,0.02,1.03,0.09,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,HD  47186
HD 47366,47366,06 37 41.00,-12 59 06.00,6.11,0.01,12.5,0.42,Simbad,4919.0,37.0,3.08,0.08,,,1.26,0.04,-0.0,0.03,1.67,0.15,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HD  47366
HD 4747,4747,00 49 26.77,-23 12 44.94,7.15,,53.18,0.13,GAIADR2,5333.0,23.0,4.45,0.06,,,0.76,0.05,-0.21,0.02,0.81,0.05,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 47536,47536,06 37 47.61,-32 20 23.04,5.26,0.01,8.13,0.09,GAIADR2,4447.0,70.0,2.26,0.17,,,1.7,0.07,-0.65,0.04,2.3,0.37,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 48265,48265,06 40 01.72,-48 32 31.03,8.03,0.01,11.02,0.03,GAIADR2,5798.0,29.0,3.95,0.14,,,1.36,0.03,0.36,0.02,1.37,0.13,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 49674,49674,06 51 30.51,+40 52 03.92,8.1,0.01,23.21,0.04,GAIADR2,5662.0,28.0,4.42,0.05,,,0.93,0.04,0.3,0.02,1.03,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 50499,50499,06 52 02.00,-33 54 56.00,7.22,0.01,21.58,0.03,GAIADR2,6077.0,19.0,4.36,0.04,,,1.27,0.02,0.34,0.01,1.23,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 50554,50554,06 54 42.82,+24 14 44.01,6.84,0.01,32.06,0.06,GAIADR2,6026.0,30.0,4.41,0.13,,,1.11,0.06,0.01,0.04,1.07,0.1,Santos et al. 2004,http://adsabs.harvard.edu/abs/2004A%26A...415.1153S,1,2018-07-30,,
HD 51608,51608,06 54 51.34,-55 15 33.57,8.17,0.01,28.5,0.03,GAIADR2,5358.0,22.0,4.36,0.05,,,0.73,0.04,-0.07,0.01,0.86,0.06,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 52265,52265,07 00 18.03,-05 22 01.78,6.3,,33.33,0.05,GAIADR2,6136.0,31.0,4.36,0.03,,,1.32,0.03,0.21,0.02,1.19,0.11,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 5319,5319,00 55 01.40,+00 47 22.40,8.05,,8.21,0.05,GAIADR2,4869.0,51.0,3.22,0.1,,,1.11,0.05,0.02,0.03,1.5,0.15,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 5583,5583,00 57 57.00,+34 59 08.00,7.6,0.01,3.4,,Spec,4986.0,35.0,2.87,0.09,,,1.62,0.04,-0.35,0.03,1.84,0.18,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HD 5608,5608,00 58 14.21,+33 57 03.18,6.0,,17.18,0.06,GAIADR2,4911.0,51.0,3.25,0.16,,,1.18,0.06,0.12,0.03,1.52,0.21,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 564,564,00 09 53.00,-50 16 04.00,8.29,0.01,18.64,0.88,Simbad,5902.0,61.0,4.53,0.1,,,0.95,0.02,-0.2,0.05,0.94,0.07,Sousa et al. 2011a,http://adsabs.harvard.edu/abs/2011A%26A...526A..99S,1,2018-07-30,,
HD 5891,5891,01 00 33.19,+20 17 32.93,8.11,0.01,3.5,0.06,GAIADR2,4825.0,47.0,2.62,0.1,,,1.69,0.05,-0.38,0.04,2.11,0.23,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 59686 A,59686,07 31 48.39,+17 05 09.77,5.45,,11.17,0.09,GAIADR2,4666.0,76.0,2.57,0.21,,,1.49,0.07,0.12,0.04,2.33,0.45,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 60532,60532,07 34 03.18,-22 17 45.83,4.39,,38.48,0.23,GAIADR2,6273.0,37.0,4.02,0.04,,,1.88,0.05,-0.09,0.02,1.34,0.09,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 62509,62509,07 45 18.94,+28 01 34.31,1.15,,96.54,0.27,Simbad,4935.0,49.0,2.91,0.13,,,1.34,0.05,0.09,0.04,1.95,0.24,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 63454,63454,07 39 21.85,-78 16 44.30,9.36,0.02,26.5,0.02,GAIADR2,4756.0,77.0,4.32,0.22,,,0.31,0.42,0.13,0.05,0.78,0.06,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HD 63765,63765,07 47 49.71,-54 15 50.92,8.1,,30.7,0.03,GAIADR2,5432.0,19.0,4.42,0.03,,,0.82,0.03,-0.16,0.01,0.85,0.05,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 6434,6434,01 04 40.15,-39 29 17.58,7.72,,23.58,0.04,GAIADR2,5721.0,45.0,4.29,0.04,,,0.82,0.08,-0.53,0.04,0.88,0.06,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 65216,65216,07 53 41.32,-63 38 50.36,7.96,0.01,28.44,0.03,GAIADR2,5612.0,16.0,4.44,0.02,,,0.78,0.03,-0.17,0.01,0.89,0.06,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,HD  65216
HD 66141,66141,08 02 15.93,+02 20 04.45,4.38,,14.67,0.45,GAIADR2,4320.0,50.0,1.9,0.15,,,1.59,0.05,-0.42,0.03,3.05,0.42,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,HD  66141
HD 66428,66428,08 03 28.66,-01 09 45.74,8.26,0.01,18.74,0.08,GAIADR2,5705.0,27.0,4.31,0.06,,,0.96,0.03,0.25,0.02,1.07,0.09,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,HD  66428
HD 67087,67087,08 07 40.00,+31 33 05.00,8.04,0.01,13.0,0.27,Simbad,6330.0,47.0,4.19,0.06,,,,,0.25,0.04,1.37,0.1,Harakawa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150307636H,0,2018-07-30,,HD  67087
HD 6718,6718,01 07 48.66,-08 14 01.33,8.45,0.01,19.45,0.05,GAIADR2,5723.0,15.0,4.44,0.02,,,0.84,0.02,-0.07,0.01,0.94,0.07,Sousa et al. 2011b,http://adsabs.harvard.edu/abs/2011A%26A...533A.141S,1,2018-07-30,,HD   6718
HD 68402,68402,08 05 24.00,-74 24 38.00,9.09,0.02,12.88,0.21,Simbad,5907.0,33.0,4.43,0.04,,,1.04,0.04,0.27,0.03,1.1,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HD  68402
HD 68988,68988,08 18 22.17,+61 27 38.59,8.19,0.01,16.41,0.05,GAIADR2,5946.0,64.0,4.39,0.12,,,1.35,0.08,0.34,0.05,1.16,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,HD  68988
HD 69830,69830,08 18 23.94,-12 37 55.81,5.95,,80.04,0.35,Simbad,5402.0,28.0,4.4,0.04,,,0.8,0.04,-0.06,0.02,0.87,0.06,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,HD  69830
HD 70642,70642,08 21 28.13,-39 42 19.47,7.18,,34.13,0.03,GAIADR2,5668.0,22.0,4.4,0.04,,,0.82,0.03,0.18,0.01,1.0,0.08,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,HD  70642
HD 7199,7199,01 10 47.22,-66 11 17.40,8.03,0.01,27.63,0.03,GAIADR2,5386.0,45.0,4.34,0.08,,,1.01,0.07,0.28,0.03,0.96,0.08,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 72659,72659,08 34 03.19,-01 34 05.57,7.47,0.01,19.24,0.05,GAIADR2,5926.0,12.0,4.24,0.01,,,1.13,0.01,-0.02,0.01,1.09,0.09,Sousa et al. 2011b,http://adsabs.harvard.edu/abs/2011A%26A...533A.141S,1,2018-07-30,,
HD 72892,72892,08 34 53.00,-14 27 24.00,8.83,0.02,13.74,0.83,Simbad,5685.0,29.0,4.33,0.04,,,0.95,0.04,0.15,0.02,1.03,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 73267,73267,08 36 17.77,-34 27 35.92,8.87,0.01,19.81,0.03,GAIADR2,5373.0,30.0,4.37,0.05,,,0.66,0.06,0.05,0.02,0.89,0.06,Sousa et al. 2011b,http://adsabs.harvard.edu/abs/2011A%26A...533A.141S,1,2018-07-30,,
HD 73526,73526,08 37 16.48,-41 19 08.76,9.0,,10.26,0.03,GAIADR2,5661.0,25.0,4.15,0.04,,,1.1,0.03,0.26,0.02,1.13,0.1,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 73534,73534,08 39 15.80,+12 57 37.34,8.24,0.01,11.97,0.05,GAIADR2,4884.0,63.0,3.59,0.2,,,1.0,0.08,0.16,0.04,1.21,0.25,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 74156,74156,08 42 25.12,+04 34 41.14,7.61,0.01,17.33,0.05,GAIADR2,6065.0,21.0,4.25,0.03,,,1.28,0.03,0.13,0.02,1.19,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 7449,7449,01 14 29.32,-05 02 50.59,7.48,0.01,25.84,0.04,GAIADR2,6024.0,13.0,4.51,0.03,,,1.11,0.01,-0.11,0.01,1.0,0.08,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 75289,75289A,08 47 40.38,-41 44 12.45,6.36,,34.32,0.03,GAIADR2,6161.0,21.0,4.37,0.03,,,1.29,0.02,0.3,0.01,1.24,0.12,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 75784,75784,08 52 23.94,+13 14 0.370,7.84,0.01,11.68,0.07,GAIADR2,4867.0,60.0,3.46,0.15,,,,,0.24,0.06,1.34,0.17,Brewer et al. 2016,http://adsabs.harvard.edu/abs/2016ApJS..225...32B,0,2018-07-30,,
HD 75898,75898,08 53 50.80,+33 03 24.51,8.03,0.01,12.78,0.05,GAIADR2,6137.0,29.0,4.31,0.05,,,1.36,0.03,0.3,0.02,1.26,0.12,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 76700,76700,08 53 55.51,-66 48 03.58,8.13,,16.59,0.56,Simbad,5689.0,29.0,4.18,0.05,,,1.06,0.04,0.37,0.02,1.17,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 77065,77065,09 00 47.00,+21 27 13.00,8.8,,31.52,1.05,Simbad,4990.0,100.0,4.28,0.2,,,,,-0.51,0.1,0.74,0.05,Wilson et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.02749,1,2018-07-30,,
HD 77338,77338,09 01 12.49,-25 31 37.42,8.59,0.01,21.74,0.04,GAIADR2,5440.0,52.0,4.36,0.11,,,1.16,0.08,0.28,0.04,0.97,0.08,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 7924,7924,01 21 59.11,+76 42 37.03,7.19,,58.82,0.02,GAIADR2,5133.0,68.0,4.46,0.12,,,0.71,0.13,-0.22,0.04,0.77,0.05,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 79498,79498,09 15 09.40,+23 22 31.98,8.02,0.01,20.4,0.07,GAIADR2,5814.0,26.0,4.4,0.04,,,1.09,0.03,0.23,0.02,1.07,0.09,Delgado-Mena et al. 2014,http://adsabs.harvard.edu/abs/2013arXiv1311.6414D,1,2018-07-30,,
HD 80606,80606,09 22 37.56,+50 36 13.48,9.0,0.02,15.02,0.04,GAIADR2,5542.0,36.0,4.28,0.06,4.42,0.02,0.79,0.05,0.27,0.03,1.03,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 81040,81040,09 23 47.08,+20 21 52.03,7.73,0.01,29.01,0.06,GAIADR2,5778.0,23.0,4.54,0.03,,,0.88,0.04,-0.03,0.02,0.94,0.07,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 81688,81688,09 28 39.98,+45 36 05.33,5.41,,11.64,0.11,GAIADR2,4903.0,21.0,2.7,0.05,,,1.54,0.02,-0.21,0.02,2.11,0.16,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HD 82886,82886,09 35 45.18,+34 46 50.67,7.63,0.01,7.84,0.07,GAIADR2,5123.0,18.0,3.3,0.04,,,1.16,0.02,-0.25,0.13,1.44,0.11,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HD 82943,82943,09 34 50.73,-12 07 46.37,6.53,0.01,36.22,0.04,GAIADR2,5989.0,20.0,4.43,0.02,,,1.1,0.02,0.26,0.01,1.13,0.1,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 83443,83443,09 37 11.82,-43 16 19.93,8.24,,24.42,0.04,GAIADR2,5511.0,45.0,4.43,0.08,,,0.93,0.07,0.34,0.03,0.99,0.08,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 8535,8535,01 23 37.23,-41 16 11.28,7.69,0.01,18.01,0.03,GAIADR2,6158.0,13.0,4.42,0.02,,,1.25,0.01,0.04,0.01,1.12,0.1,Sousa et al. 2011b,http://adsabs.harvard.edu/abs/2011A%26A...533A.141S,1,2018-07-30,,
HD 85390,85390,09 50 02.49,-49 47 24.96,8.55,,29.8,0.04,GAIADR2,5135.0,45.0,4.32,0.12,,,0.66,0.08,-0.09,0.02,0.82,0.06,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HD 85512,85512,09 51 07.05,-43 30 10.02,7.65,,0.24,0.08,GAIADR2,4400.0,45.0,4.36,0.1,,,0.02,0.05,-0.26,0.14,0.66,0.05,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HD 8574,8574,01 25 12.51,+28 34 00.10,7.11,0.01,22.28,0.05,GAIADR2,6070.0,41.0,4.26,0.05,,,1.15,0.05,0.06,0.03,1.16,0.11,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 86081,86081,09 56 05.91,-03 48 30.32,8.7,0.02,9.59,0.05,GAIADR2,6036.0,23.0,4.21,0.04,,,1.34,0.03,0.22,0.02,1.24,0.12,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 86226,86226,09 56 29.84,-24 05 57.79,7.93,0.01,21.86,0.05,GAIADR2,5947.0,21.0,4.54,0.04,,,1.12,0.03,0.02,0.02,1.01,0.08,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 86264,86264,09 56 57.83,-15 53 42.43,7.41,0.01,14.72,0.06,GAIADR2,6596.0,78.0,4.47,0.15,,,1.9,0.09,0.37,0.06,1.39,0.11,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 8673,8673,01 26 08.79,+34 34 46.92,6.31,,26.38,0.04,GAIADR2,6472.0,51.0,4.27,0.22,,,,,0.14,0.05,1.36,0.14,Tsantaki et al. 2014,http://adsabs.harvard.edu/abs/2014arXiv1407.6765T,1,2018-07-30,,
HD 86950,86950,10 01 38.00,-17 19 59.00,7.46,0.01,5.92,0.67,Simbad,4805.0,100.0,2.66,0.15,,,,,0.04,0.1,2.23,0.33,Wittenmyer et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1611.07648,0,2018-07-30,,
HD 87646 A,87646,10 06 40.8,+17 53 42.00,8.07,0.01,7.4,0.78,GAIADR2,5770.0,80.0,4.1,0.1,,,1.8,,-0.17,0.08,1.06,0.11,Ma et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1608.03597,0,2018-07-30,,
HD 87883,87883,10 08 43.13,+34 14 32.13,7.55,0.01,54.64,0.04,GAIADR2,4917.0,68.0,4.34,0.19,,,0.46,0.21,0.02,0.03,0.79,0.06,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HD 88133,88133,10 10 07.67,+18 11 12.72,8.06,,13.56,0.06,GAIADR2,5516.0,46.0,4.06,0.07,,,1.05,0.06,0.4,0.04,1.19,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 89307,89307,10 18 21.28,+12 37 15.98,7.03,0.01,31.21,0.05,GAIADR2,5992.0,17.0,4.49,0.03,,,1.06,0.03,-0.09,0.01,1.0,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 89744,89744,10 22 10.56,+41 13 46.31,5.74,,25.85,0.07,GAIADR2,6381.0,43.0,4.27,0.05,,,1.7,0.05,0.3,0.03,1.36,0.09,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 90156,90156,10 23 55.27,-29 38 43.90,6.92,,45.53,0.04,GAIADR2,5599.0,12.0,4.48,0.02,,,0.86,0.02,-0.24,0.01,0.86,0.06,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 9174,9174,01 30 01.00,-19 36 16.00,8.4,0.01,12.24,0.05,GAIADR2,5631.0,30.0,4.05,0.04,,,1.12,0.03,0.36,0.02,1.22,0.12,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 92788,92788,10 42 48.52,-02 11 01.52,7.3,0.01,28.83,0.05,GAIADR2,5744.0,24.0,4.39,0.04,,,0.95,0.03,0.27,0.02,1.06,0.09,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 93083,93083,10 44 20.91,-33 34 37.27,8.33,,35.04,0.05,GAIADR2,5048.0,66.0,4.32,0.16,,,0.81,0.12,0.08,0.04,0.83,0.07,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HD 93385,93385,10 46 15.11,-41 27 51.72,7.49,0.01,23.04,0.03,GAIADR2,5977.0,18.0,4.42,0.02,,,1.14,0.02,0.02,0.01,1.05,0.09,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 9446,9446,01 33 20.18,+29 15 54.53,8.35,,19.83,0.14,GAIADR2,5793.0,22.0,4.53,0.16,,,1.01,0.03,0.09,0.05,0.99,0.09,Hebrard et al. 2010,http://adsabs.harvard.edu/abs/2010A%26A...513A..69H,1,2018-07-30,,
HD 95089,95089,10 58 47.73,+01 43 45.17,7.95,0.01,7.28,0.1,GAIADR2,4950.0,68.0,3.32,0.18,,,1.27,0.08,0.0,0.05,1.43,0.22,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 95127,95127,10 59 35.00,+43 48 52.00,8.15,0.02,1.45,0.1,GAIADR2,4218.0,90.0,3.82,0.27,,,,,-0.18,,,,Niedzielski et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150107076N,0,2018-07-30,,
HD 9578,9578,01 33 17.14,-38 14 42.05,8.2,0.01,17.79,0.03,GAIADR2,6070.0,22.0,4.53,0.02,,,1.1,0.03,0.16,0.01,1.09,0.09,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 95872,95872,11 03 28.00,-22 05 38.00,9.9,,13.82,0.03,GAIADR2,5304.0,71.0,4.41,0.13,,,0.92,0.1,0.26,0.04,0.92,0.08,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HD 96063,96063,11 04 44.45,-02 30 47.58,8.25,0.02,7.11,0.07,GAIADR2,5131.0,26.0,3.44,0.06,,,1.14,0.03,-0.2,0.02,1.33,0.1,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 96127,96127,11 05 45.94,+44 18 05.60,7.41,0.01,1.67,0.07,GAIADR2,4179.0,110.0,1.59,0.34,,,2.01,0.11,-0.29,0.05,3.66,1.03,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,
HD 96167,96167,11 05 15.06,-10 17 28.68,8.08,0.01,11.69,0.06,GAIADR2,5823.0,32.0,4.16,0.08,,,1.28,0.03,0.38,0.02,1.25,0.13,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 96700,96700,11 07 54.42,-30 10 28.43,6.5,0.01,39.32,0.04,GAIADR2,5845.0,13.0,4.39,0.02,,,1.04,0.01,-0.18,0.01,0.96,0.07,Sousa et al. 2008,http://adsabs.harvard.edu/abs/2008A%26A...487..373S,1,2018-07-30,,
HD 97658,97658,11 14 33.16,+25 42 37.39,7.71,,46.35,0.05,GAIADR2,5137.0,36.0,4.47,0.09,,,0.63,0.08,-0.35,0.02,0.75,0.04,Mortier et al. 2013b,http://adsabs.harvard.edu/abs/2013A%26A...558A.106M,1,2018-07-30,,
HD 98219,98219,11 17 47.55,-23 58 31.49,8.03,0.01,8.77,0.04,GAIADR2,5046.0,71.0,3.59,0.14,,,1.07,0.08,0.05,0.05,1.24,0.2,Mortier et al. 2013a,http://adsabs.harvard.edu/abs/2013A%26A...557A..70M,1,2018-07-30,,
HD 98649,98649,11 20 51.76,-23 13 02.43,7.99,0.01,23.68,0.05,GAIADR2,5714.0,22.0,4.37,0.05,,,1.01,0.03,-0.03,0.02,0.97,0.07,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 99109,99109,11 24 17.35,-01 31 44.66,9.06,0.03,18.22,0.06,GAIADR2,5327.0,61.0,4.38,0.12,,,0.98,0.09,0.3,0.04,0.94,0.08,Santos et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,1,2018-07-30,,
HD 99492,99492,11 26 46.27,+03 00 22.76,7.53,,55.69,1.46,Simbad,4815.0,185.0,4.28,0.46,,,0.5,0.56,0.24,0.12,0.87,0.17,Tsantaki et al. 2013,http://adsabs.harvard.edu/abs/2013A%26A...555A.150T,1,2018-07-30,,
HD 99706,99706,11 28 30.21,+43 57 59.69,7.64,0.01,6.79,0.05,GAIADR2,4891.0,35.0,3.07,0.08,,,1.15,0.03,0.02,0.03,1.68,0.15,Sousa et al. 2015,http://adsabs.harvard.edu/abs/2015arXiv150302443S,1,2018-07-30,,
HIP 105854,203949,21 26 22.87,-37 49 45.95,5.64,,12.69,0.12,GAIADR2,4618.0,113.0,2.36,0.28,,,1.47,0.11,0.17,0.07,2.73,0.72,Sousa et al. 2018,http://adsabs.harvard.edu/abs/2018arXiv181008108S,1,2018-10-22,,
HIP 107773,207229,21 50 00.00,-64 42 45.00,5.62,,9.48,0.07,GAIADR2,4957.0,49.0,2.83,0.09,,,1.49,0.05,0.04,0.04,2.06,0.2,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HIP 109384,,22 08 31.99,+71 18 51.84,9.63,0.02,17.84,0.85,Simbad,5180.0,45.0,4.43,0.1,,,,,-0.26,0.03,0.78,0.05,Hebrard et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622,1,2018-07-30,,
HIP 109600,,22 12 06.00,+29 03 57.00,9.16,0.02,17.12,0.93,Simbad,5530.0,35.0,4.45,0.03,,,,,-0.12,0.02,0.88,0.06,Hebrard et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1602.04622,1,2018-07-30,,
HIP 116454,,23 35 49.00,+00 26 44.00,10.19,0.01,18.1,1.72,Simbad,5042.0,72.0,4.55,0.15,,,0.71,0.17,-0.16,0.03,0.76,0.04,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HIP 11915,16008,02 33 49.00,-19 36 43.00,8.58,0.01,18.52,0.06,GAIADR2,5770.0,14.0,4.47,0.03,,,0.95,0.02,-0.06,0.01,0.95,0.07,Andreasen et al. 2017,http://adsabs.harvard.edu/abs/2017arXiv170306671A,1,2018-07-30,,
HIP 12961,,02 46 42.89,-23 05 11.80,10.24,0.02,42.76,0.03,GAIADR2,3823.0,110.0,4.65,0.09,,,,,0.22,0.09,0.54,0.05,"Santos et al. 2013,Neves et al. 2014","http://adsabs.harvard.edu/abs/2013A%26A...556A.150S,http://adsabs.harvard.edu/abs/2014A%26A...568A.121N",0,2018-10-09,M dwarf,
HIP 14810,,03 11 14.23,+21 05 50.49,8.5,0.02,19.78,0.04,GAIADR2,5601.0,28.0,4.43,0.05,,,0.96,0.04,0.26,0.02,0.99,0.08,Delgado-Mena et al. 2014,http://adsabs.harvard.edu/abs/2013arXiv1311.6414D,1,2018-07-30,,
HIP 41378,,08 26 28.00,+10 04 49.00,8.9,0.02,8.56,1.24,Simbad,6199.0,50.0,4.18,0.1,,,,,-0.11,0.08,1.2,0.13,Vanderburg et al. 2016,http://adsabs.harvard.edu/cgi-bin/bib_query?arXiv:1606.08441,0,2018-07-30,,
