intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
584,A776410,*Cosmos,07/13/2018 11:54:00 AM,07/13/2018 11:54:00 AM,Ballycastle in Austin (TX),Stray,Normal,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White,5,80237,A776410,*Cosmos,07/18/2018 05:02:00 PM,07/18/2018 05:02:00 PM,07/13/2016,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black/White,730,Dog
585,A742230,*Brady,01/17/2017 05:31:00 PM,01/17/2017 05:31:00 PM,Wheless Ln & Coventry Ln in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix,Black/White,14,23210,A742230,*Brady,01/31/2017 05:39:00 PM,01/31/2017 05:39:00 PM,01/17/2015,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White,731,Dog
586,A775280,Louise,06/27/2018 01:42:00 PM,06/27/2018 01:42:00 PM,8228 Research Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,6 years,Miniature Poodle Mix,White,4,92507,A775280,Louise,07/02/2018 12:33:00 PM,07/02/2018 12:33:00 PM,06/28/2012,Transfer,Partner,Dog,Intact Female,6 years,Miniature Poodle Mix,White,2190,Dog
587,A696047,White,01/28/2015 11:01:00 AM,01/28/2015 11:01:00 AM,Old Lockhart Hwy & Mustang Mesa Dr in Travis (TX),Stray,Normal,Puppy,Intact Female,1 month,Collie Smooth Mix,White/Brown,4,14111,A696047,White,02/01/2015 02:14:00 PM,02/01/2015 02:14:00 PM,11/28/2014,Return to Owner,,Dog,Spayed Female,2 months,Collie Smooth Mix,White/Brown,61,Dog
589,A720271,*Vinny,02/05/2016 05:02:00 PM,02/05/2016 05:02:00 PM,Austin (TX),Owner Surrender,Normal,Puppy,Intact Male,0 years,Shih Tzu Mix,Brown/White,58,60471,A720271,*Vinny,04/03/2016 06:08:00 PM,04/03/2016 06:08:00 PM,02/05/2016,Adoption,Foster,Dog,Neutered Male,1 month,Shih Tzu Mix,Brown/White,0,Dog
590,A692060,,11/13/2014 06:10:00 PM,11/13/2014 06:10:00 PM,9100 Evelyn Rd in Travis (TX),Stray,Normal,Kitten,Intact Female,1 month,Domestic Shorthair Mix,Black/White,0,62188,A692060,,11/13/2014 06:37:00 PM,11/13/2014 06:37:00 PM,10/06/2014,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,38,Cat
591,A665548,Baby,10/19/2013 11:16:00 AM,10/19/2013 11:16:00 AM,Austin (TX),Owner Surrender,Normal,Other,Intact Female,1 year,Rabbit Sh Mix,Tan/White,4,77960,A665548,Baby,10/23/2013 05:03:00 PM,10/23/2013 05:03:00 PM,10/19/2012,Transfer,Partner,Other,Intact Female,1 year,Rabbit Sh Mix,Tan/White,365,Other
592,A677540,,04/26/2014 11:34:00 AM,04/26/2014 11:34:00 AM,1911 Willow Creek Dr in Austin (TX),Stray,Normal,Kitten,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby,0,52703,A677540,,04/26/2014 11:35:00 AM,04/26/2014 11:35:00 AM,04/20/2014,Transfer,Partner,Cat,Unknown,6 days,Domestic Shorthair Mix,Brown Tabby,6,Cat
593,A666427,,11/01/2013 10:44:00 AM,11/01/2013 10:44:00 AM,10135 Lake Creek Pkwy in Austin (TX),Wildlife,Injured,Other,Unknown,2 years,Raccoon Mix,Black/White,0,9697,A666427,,11/01/2013 11:37:00 AM,11/01/2013 11:37:00 AM,11/01/2011,Euthanasia,Suffering,Other,Unknown,2 years,Raccoon Mix,Black/White,731,Other
594,A717611,Socks,06/27/2017 11:55:00 AM,06/27/2017 11:55:00 AM,8308 Bridgetown Dr in Austin (TX),Public Assist,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Black/White,52,18820,A717611,Socks,08/19/2017 11:44:00 AM,08/19/2017 11:44:00 AM,06/11/2015,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,747,Dog
595,A711270,,09/04/2015 03:37:00 PM,09/04/2015 03:37:00 PM,2302 Bahama Rd in Travis (TX),Stray,Normal,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,0,65918,A711270,,09/05/2015 09:00:00 AM,09/05/2015 09:00:00 AM,09/04/2014,Transfer,SCRP,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Brown Tabby/White,365,Cat
596,A710295,*Rza,12/14/2015 04:33:00 PM,12/14/2015 04:33:00 PM,1156 E. Cesar Chavez in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Pit Bull Mix,Chocolate/White,9,31218,A710295,*Rza,12/24/2015 03:16:00 PM,12/24/2015 03:16:00 PM,08/20/2014,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Chocolate/White,481,Dog
597,A666189,Paige,10/28/2013 05:40:00 PM,10/28/2013 05:40:00 PM,S 4Th And W Oltof in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Border Collie Mix,Tricolor,0,36805,A666189,Paige,10/29/2013 02:34:00 PM,10/29/2013 02:34:00 PM,10/28/2012,Return to Owner,,Dog,Neutered Male,1 year,Border Collie Mix,Tricolor,365,Dog
598,A739277,Alley,11/30/2016 11:03:00 AM,11/30/2016 11:03:00 AM,10427 Kirken St in Austin (TX),Stray,Normal,Puppy,Intact Female,2 months,Labrador Retriever/Dachshund,Black/White,4,55701,A739277,Alley,12/04/2016 06:36:00 PM,12/04/2016 06:36:00 PM,09/23/2016,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever/Dachshund,Black/White,68,Dog
599,A668273,Mama,12/01/2013 12:13:00 PM,12/01/2013 12:13:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White,2,17803,A668273,Mama,12/03/2013 02:08:00 PM,12/03/2013 02:08:00 PM,12/01/2005,Transfer,Partner,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Black/White,2922,Cat
600,A731320,*Bobo,07/20/2016 01:32:00 PM,07/20/2016 01:32:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue Tabby/White,171,37999,A731320,*Bobo,01/07/2017 04:47:00 PM,01/07/2017 04:47:00 PM,07/20/2009,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue Tabby/White,2557,Cat
601,A727323,*Deedee,05/21/2016 09:14:00 AM,05/21/2016 09:14:00 AM,8028 Elroy Rd in Travis (TX),Stray,Nursing,Puppy,Intact Female,2 weeks,Pit Bull,White/Black,58,14714,A727323,*Deedee,07/18/2016 06:39:00 PM,07/18/2016 06:39:00 PM,05/06/2016,Adoption,Foster,Dog,Spayed Female,2 months,Pit Bull,White/Black,15,Dog
602,A744182,Luna,02/24/2017 03:52:00 PM,02/24/2017 03:52:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Blue/White,1,40400,A744182,Luna,02/26/2017 01:27:00 PM,02/26/2017 01:27:00 PM,02/24/2013,Return to Owner,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Blue/White,1461,Cat
603,A743958,*Indie,02/20/2017 02:33:00 PM,02/20/2017 02:33:00 PM,310 Blackson Ave in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle,9,74403,A743958,*Indie,03/01/2017 06:26:00 PM,03/01/2017 06:26:00 PM,02/20/2015,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle,731,Dog
604,A751462,*Pilgrim,06/08/2017 03:28:00 PM,06/08/2017 03:28:00 PM,20416 Crested Caracara Ln in Travis (TX),Stray,Normal,Dog,Intact Male,5 years,Basset Hound Mix,Brown Brindle,71,18231,A751462,*Pilgrim,08/19/2017 10:17:00 AM,08/19/2017 10:17:00 AM,06/08/2012,Adoption,,Dog,Neutered Male,5 years,Basset Hound Mix,Brown Brindle,1826,Dog
605,A737788,Max,11/04/2016 01:51:00 PM,11/04/2016 01:51:00 PM,Sunset Trail And Reese Drive in Travis (TX),Stray,Normal,Dog,Intact Male,3 years,German Shepherd Mix,Black/Brown,0,28826,A737788,Max,11/04/2016 06:59:00 PM,11/04/2016 06:59:00 PM,11/04/2013,Return to Owner,,Dog,Intact Male,3 years,German Shepherd Mix,Black/Brown,1096,Dog
606,A729565,,06/20/2016 12:54:00 PM,06/20/2016 12:54:00 PM,13309 Bennington Ln in Austin (TX),Stray,Normal,Kitten,Intact Male,2 months,Domestic Shorthair Mix,Silver Tabby/White,4,57634,A729565,,06/24/2016 05:04:00 PM,06/24/2016 05:04:00 PM,04/05/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Silver Tabby/White,76,Cat
607,A711381,,09/06/2015 11:19:00 AM,09/06/2015 11:19:00 AM,810 E Slaughter Ln 9102 in Austin (TX),Stray,Normal,Cat,Intact Female,7 months,Domestic Shorthair Mix,Orange Tabby/White,0,52142,A711381,,09/07/2015 09:00:00 AM,09/07/2015 09:00:00 AM,01/06/2015,Transfer,SCRP,Cat,Intact Female,8 months,Domestic Shorthair Mix,Orange Tabby/White,243,Cat
608,A715345,*Jordy,11/04/2015 11:21:00 AM,11/04/2015 11:21:00 AM,11604 Ranch House Cv in Travis (TX),Stray,Normal,Dog,Neutered Male,9 months,Labrador Retriever Mix,Yellow,3,75473,A715345,*Jordy,11/08/2015 12:00:00 AM,11/08/2015 12:00:00 AM,01/04/2015,Transfer,Partner,Dog,Neutered Male,10 months,Labrador Retriever Mix,Yellow,304,Dog
609,A717777,Duke,12/14/2015 05:14:00 PM,12/14/2015 05:14:00 PM,8601 Vertex in Austin (TX),Stray,Normal,Dog,Intact Male,6 months,Leonberger,Brown/Black,1,45842,A717777,Duke,12/15/2015 06:04:00 PM,12/15/2015 06:04:00 PM,06/14/2015,Return to Owner,,Dog,Intact Male,6 months,Leonberger,Brown/Black,183,Dog
610,A708850,*Pigeon,08/01/2015 02:17:00 PM,08/01/2015 02:17:00 PM,16808 High Noon in Del Valle (TX),Stray,Normal,Kitten,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby,7,56211,A708850,*Pigeon,08/09/2015 01:48:00 PM,08/09/2015 01:48:00 PM,06/01/2015,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby,61,Cat
611,A673443,*Bonnie,02/24/2014 12:10:00 PM,02/24/2014 12:10:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,6 months,Tonkinese Mix,Chocolate Point,6,27824,A673443,*Bonnie,03/02/2014 12:49:00 PM,03/02/2014 12:49:00 PM,08/24/2013,Adoption,Offsite,Cat,Spayed Female,6 months,Tonkinese Mix,Chocolate Point,184,Cat
612,A677574,Tuna,04/26/2014 02:08:00 PM,04/26/2014 02:08:00 PM,2507 Bitter Creek in Austin (TX),Stray,Normal,Kitten,Intact Female,4 weeks,Domestic Shorthair Mix,Calico,50,41054,A677574,Tuna,06/15/2014 05:42:00 PM,06/15/2014 05:42:00 PM,03/26/2014,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,31,Cat
613,A763724,,12/15/2017 07:01:00 AM,12/15/2017 07:01:00 AM,1801 Fort View in Austin (TX),Stray,Injured,Kitten,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/Black,4,9174,A763724,,12/19/2017 02:36:00 PM,12/19/2017 02:36:00 PM,10/24/2017,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/Black,52,Cat
614,A774222,Beans,06/11/2018 06:20:00 PM,06/11/2018 06:20:00 PM,1107 East Yager Lane in Austin (TX),Stray,Normal,Kitten,Intact Female,1 month,Domestic Medium Hair Mix,Black/White,26,712,A774222,Beans,07/08/2018 02:44:00 PM,07/08/2018 02:44:00 PM,04/30/2018,Adoption,,Cat,Intact Female,2 months,Domestic Medium Hair Mix,Black/White,42,Cat
615,A728994,,06/12/2016 12:30:00 PM,06/12/2016 12:30:00 PM,7917 Brockman St in Austin (TX),Wildlife,Normal,Other,Unknown,4 weeks,Bat,Red,0,22714,A728994,,06/12/2016 12:48:00 PM,06/12/2016 12:48:00 PM,05/12/2016,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Red,31,Other
616,A672766,,02/16/2014 05:53:00 PM,02/16/2014 05:53:00 PM,409 Covenant Canyon Trl in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Longhair Mix,Torbie,1,48121,A672766,,02/18/2014 04:06:00 PM,02/18/2014 04:06:00 PM,04/16/2013,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Longhair Mix,Torbie,306,Cat
617,A706093,,06/24/2015 12:17:00 PM,06/24/2015 12:17:00 PM,5702 Richmond Ave in Austin (TX),Stray,Normal,Kitten,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black,5,40371,A706093,,06/29/2015 01:56:00 PM,06/29/2015 01:56:00 PM,05/30/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Black,25,Cat
618,A723284,*Selena,03/29/2016 02:27:00 PM,03/29/2016 02:27:00 PM,9219 Anderson Mill in Austin (TX),Stray,Normal,Cat,Intact Female,10 months,Domestic Shorthair Mix,Calico,10,67658,A723284,*Selena,04/09/2016 12:21:00 PM,04/09/2016 12:21:00 PM,05/29/2015,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Calico,305,Cat
619,A751518,Victoria,06/09/2017 10:55:00 AM,06/09/2017 10:55:00 AM,200 W Anderson Ln in Austin (TX),Stray,Normal,Kitten,Intact Female,4 weeks,Siamese Mix,Lynx Point,32,68178,A751518,Victoria,07/11/2017 06:00:00 PM,07/11/2017 06:00:00 PM,05/06/2017,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point,34,Cat
620,A700028,*Elmo,04/06/2015 03:22:00 PM,04/06/2015 03:22:00 PM,E St Elmo Rd And Freidrich Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair/Dachshund,Black/White,6,62318,A700028,*Elmo,04/13/2015 02:13:00 PM,04/13/2015 02:13:00 PM,04/06/2014,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Black/White,365,Dog
621,A664302,,10/01/2013 04:03:00 PM,10/01/2013 04:03:00 PM,7903 Taza Trl in Austin (TX),Stray,Normal,Cat,Intact Female,9 months,Domestic Shorthair Mix,Black/White,1,64155,A664302,,10/03/2013 12:27:00 PM,10/03/2013 12:27:00 PM,12/01/2012,Transfer,SCRP,Cat,Intact Female,10 months,Domestic Shorthair Mix,Black/White,304,Cat
622,A679881,*Thurgood,08/27/2015 03:29:00 PM,08/27/2015 03:29:00 PM,W Rundberg Ln And Georgian Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Australian Shepherd Mix,Black/Brown,9,8070,A679881,*Thurgood,09/06/2015 02:49:00 PM,09/06/2015 02:49:00 PM,05/27/2010,Adoption,,Dog,Neutered Male,5 years,Australian Shepherd Mix,Black/Brown,1918,Dog
623,A648094,Brawndo,06/28/2016 11:13:00 AM,06/28/2016 11:13:00 AM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Dachshund/Chihuahua Shorthair,Red,23,58645,A648094,Brawndo,07/21/2016 06:58:00 PM,07/21/2016 06:58:00 PM,11/21/2012,Adoption,,Dog,Neutered Male,3 years,Dachshund/Chihuahua Shorthair,Red,1315,Dog
624,A691423,Blacky,11/04/2014 11:56:00 AM,11/04/2014 11:56:00 AM,6500 River Place Blvd in Austin (TX),Stray,Injured,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Brown/Black,4,62912,A691423,Blacky,11/08/2014 12:28:00 PM,11/08/2014 12:28:00 PM,11/04/2007,Euthanasia,Suffering,Dog,Intact Male,7 years,Yorkshire Terrier Mix,Brown/Black,2557,Dog
625,A694587,,12/31/2014 11:33:00 AM,12/31/2014 11:33:00 AM,12320 Dessau Road in Austin (TX),Stray,Normal,Puppy,Intact Female,2 months,American Bulldog Mix,Brown/White,4,74781,A694587,,01/04/2015 05:24:00 PM,01/04/2015 05:24:00 PM,10/16/2014,Adoption,,Dog,Spayed Female,2 months,American Bulldog Mix,Brown/White,76,Dog
626,A697854,Monty,03/02/2015 01:34:00 PM,03/02/2015 01:34:00 PM,2202 Cedar Bend Dr # B in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Beauceron Mix,Black/Tan,94,59299,A697854,Monty,06/04/2015 04:14:00 PM,06/04/2015 04:14:00 PM,03/09/2005,Adoption,,Dog,Neutered Male,10 years,Beauceron Mix,Black/Tan,3645,Dog
627,A707635,,07/15/2015 01:38:00 PM,07/15/2015 01:38:00 PM,4106 N Lamar Blvd in Austin (TX),Stray,Normal,Kitten,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White,0,34566,A707635,,07/15/2015 04:10:00 PM,07/15/2015 04:10:00 PM,06/29/2015,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White,16,Cat
628,A770617,Fat Girl,04/23/2018 11:07:00 AM,04/23/2018 11:07:00 AM,Austin (TX),Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix,Fawn/White,14,91837,A770617,Fat Girl,05/07/2018 05:19:00 PM,05/07/2018 05:19:00 PM,04/22/2015,Rto-Adopt,,Dog,Spayed Female,3 years,Pit Bull Mix,Fawn/White,1097,Dog
629,A703294,Zoe,05/22/2015 04:42:00 PM,05/22/2015 04:42:00 PM,Mckinney Falls Pkwy And Dee Gabriel Collins in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White,4,66885,A703294,Zoe,05/27/2015 11:55:00 AM,05/27/2015 11:55:00 AM,05/22/2013,Return to Owner,,Dog,Intact Female,2 years,Pit Bull Mix,Brown Brindle/White,730,Dog
630,A664336,,10/02/2013 11:04:00 AM,10/02/2013 11:04:00 AM,16801 Trevin Cv in Manor (TX),Stray,Normal,Kitten,Intact Female,2 months,Domestic Shorthair Mix,Calico,6,67470,A664336,,10/08/2013 06:44:00 PM,10/08/2013 06:44:00 PM,07/17/2013,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico,77,Cat
632,A678753,*Leopard,05/12/2014 03:10:00 PM,05/12/2014 03:10:00 PM,4101 Smith School Road in Austin (TX),Stray,Normal,Kitten,Intact Female,4 weeks,Domestic Shorthair Mix,Black/White,18,30541,A678753,*Leopard,05/30/2014 04:59:00 PM,05/30/2014 04:59:00 PM,04/12/2014,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,30,Cat
633,A733400,,08/21/2016 11:42:00 AM,08/21/2016 11:42:00 AM,2703 Channing Cir in Austin (TX),Stray,Normal,Kitten,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,0,86388,A733400,,08/22/2016 09:00:00 AM,08/22/2016 09:00:00 AM,05/06/2016,Transfer,SCRP,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby/White,107,Cat
634,A725789,,05/03/2016 12:12:00 PM,05/03/2016 12:12:00 PM,1701 Congress Ave in Austin (TX),Wildlife,Normal,Other,Unknown,2 weeks,Opossum,Gray,0,29967,A725789,,05/03/2016 12:37:00 PM,05/03/2016 12:37:00 PM,04/15/2016,Euthanasia,Underage,Other,Unknown,2 weeks,Opossum,Gray,18,Other
635,A678503,*Europa,05/09/2014 03:44:00 PM,05/09/2014 03:44:00 PM,2121 Rivena Dr in Austin (TX),Stray,Normal,Kitten,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,4,82426,A678503,*Europa,05/14/2014 03:09:00 PM,05/14/2014 03:09:00 PM,03/18/2014,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White,52,Cat
636,A690667,,10/23/2014 06:59:00 PM,10/23/2014 06:59:00 PM,4604 Reyes St in Austin (TX),Stray,Nursing,Kitten,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,0,91259,A690667,,10/24/2014 12:35:00 PM,10/24/2014 12:35:00 PM,10/01/2014,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,22,Cat
637,A728224,,06/01/2016 12:23:00 PM,06/01/2016 12:23:00 PM,2000 E. 8Th in Austin (TX),Stray,Normal,Kitten,Intact Female,3 months,Domestic Shorthair Mix,White/Brown Tabby,4,16597,A728224,,06/05/2016 05:37:00 PM,06/05/2016 05:37:00 PM,03/01/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Brown Tabby,92,Cat
638,A777862,Hank,08/04/2018 02:43:00 PM,08/04/2018 02:43:00 PM,3606 Goodwin Avenue in Austin (TX),Stray,Normal,Puppy,Intact Male,3 months,Labrador Retriever Mix,Red/White,6,61322,A777862,Hank,08/11/2018 10:55:00 AM,08/11/2018 10:55:00 AM,05/04/2018,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Red/White,92,Dog
639,A704534,,06/05/2015 11:24:00 PM,06/05/2015 11:24:00 PM,11404 Briarcreek Loop in Travis (TX),Stray,Normal,Dog,Spayed Female,11 years,Pomeranian Mix,Black,5,3686,A704534,,06/11/2015 05:01:00 PM,06/11/2015 05:01:00 PM,06/10/2003,Transfer,Partner,Dog,Spayed Female,12 years,Pomeranian Mix,Black,4378,Dog
640,A758933,,09/24/2017 11:51:00 AM,09/24/2017 11:51:00 AM,4800 South Interstate 35 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Pbgv Mix,White/Tricolor,5,55886,A758933,,09/29/2017 02:19:00 PM,09/29/2017 02:19:00 PM,09/24/2016,Transfer,Partner,Dog,Neutered Male,1 year,Pbgv Mix,White/Tricolor,365,Dog
642,A696005,,01/27/2015 02:47:00 PM,01/27/2015 02:47:00 PM,Georgian Dr And Rundberg in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Dachshund Wirehair/Norfolk Terrier,Buff,6,35780,A696005,,02/03/2015 01:29:00 PM,02/03/2015 01:29:00 PM,08/16/2014,Transfer,Partner,Dog,Spayed Female,5 months,Dachshund Wirehair/Norfolk Terrier,Buff,164,Dog
643,A754235,*Daisy,07/17/2017 04:02:00 PM,07/17/2017 04:02:00 PM,9100 Meadowheath Drive in Austin (TX),Stray,Normal,Kitten,Intact Female,2 months,Domestic Shorthair Mix,Tortie,21,7447,A754235,*Daisy,08/07/2017 06:06:00 PM,08/07/2017 06:06:00 PM,05/04/2017,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,74,Cat
644,A706563,Ricky,06/30/2015 02:53:00 PM,06/30/2015 02:53:00 PM,Pflugerville (TX),Owner Surrender,Normal,Kitten,Intact Male,3 months,Domestic Shorthair Mix,Black,3,36092,A706563,Ricky,07/04/2015 10:31:00 AM,07/04/2015 10:31:00 AM,03/15/2015,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black,107,Cat
645,A695353,Smooches,01/14/2015 12:07:00 PM,01/14/2015 12:07:00 PM,2000 Millhouse Dr in Travis (TX),Owner Surrender,Normal,Puppy,Intact Female,4 months,Maltese/Miniature Poodle,Tan/White,1,12716,A695353,Smooches,01/15/2015 04:50:00 PM,01/15/2015 04:50:00 PM,09/14/2014,Return to Owner,,Dog,Spayed Female,4 months,Maltese/Miniature Poodle,Tan/White,122,Dog
646,A701371,*Sadie,04/28/2015 03:26:00 PM,04/28/2015 03:26:00 PM,3101 Oak Springs Dr in Austin (TX),Stray,Normal,Kitten,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,47,82740,A701371,*Sadie,06/14/2015 06:57:00 PM,06/14/2015 06:57:00 PM,04/07/2015,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,21,Cat
647,A673922,,03/04/2014 04:25:00 PM,03/04/2014 04:25:00 PM,9700 Mv Neil Dr in Travis (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Black/Brown,0,2986,A673922,,03/05/2014 09:34:00 AM,03/05/2014 09:34:00 AM,03/04/2013,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black/Brown,365,Other
648,A697267,,02/20/2015 04:33:00 PM,02/20/2015 04:33:00 PM,Austin (TX),Euthanasia Request,Sick,Bird,Unknown,1 year,Chicken Mix,Red,0,71957,A697267,,02/20/2015 05:18:00 PM,02/20/2015 05:18:00 PM,08/20/2013,Euthanasia,Suffering,Bird,Unknown,1 year,Chicken Mix,Red,549,Bird
649,A666176,*Scruffy,10/28/2013 01:12:00 PM,10/28/2013 01:12:00 PM,Teri Rd And Freiderick Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Miniature Schnauzer/Yorkshire Terrier,Tricolor,7,11112,A666176,*Scruffy,11/04/2013 04:27:00 PM,11/04/2013 04:27:00 PM,10/28/2012,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Schnauzer/Yorkshire Terrier,Tricolor,365,Dog
650,A700580,,04/16/2015 12:42:00 PM,04/16/2015 12:42:00 PM,7500 S I H 35 in Austin (TX),Stray,Normal,Kitten,Unknown,1 weeks,Domestic Shorthair Mix,Black,0,63405,A700580,,04/16/2015 03:08:00 PM,04/16/2015 03:08:00 PM,04/04/2015,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Black,12,Cat
651,A673193,,02/20/2014 08:12:00 AM,02/20/2014 08:12:00 AM,Springdale/Oak Springs in Austin (TX),Stray,Normal,Puppy,Intact Male,3 months,Chihuahua Shorthair Mix,Tan/White,6,67606,A673193,,02/26/2014 05:29:00 PM,02/26/2014 05:29:00 PM,11/20/2013,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair Mix,Tan/White,92,Dog
652,A709693,,08/12/2015 12:34:00 PM,08/12/2015 12:34:00 PM,5947 Hammermill Run in Austin (TX),Wildlife,Normal,Other,Unknown,3 years,Bat Mix,Brown,0,43230,A709693,,08/12/2015 01:57:00 PM,08/12/2015 01:57:00 PM,08/12/2012,Euthanasia,Rabies Risk,Other,Unknown,3 years,Bat Mix,Brown,1095,Other
653,A697049,*Marigold,02/17/2015 11:06:00 AM,02/17/2015 11:06:00 AM,2504 New York Dr # 134 in Austin (TX),Stray,Injured,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby/White,175,50034,A697049,*Marigold,08/11/2015 03:26:00 PM,08/11/2015 03:26:00 PM,02/17/2014,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby/White,365,Cat
654,A728338,Olivia,06/02/2016 02:58:00 PM,06/02/2016 02:58:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White,6,67193,A728338,Olivia,06/09/2016 02:15:00 PM,06/09/2016 02:15:00 PM,06/02/2014,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/White,731,Dog
655,A676201,Duke,04/06/2014 12:14:00 PM,04/06/2014 12:14:00 PM,Valburn And North Rim in Austin (TX),Stray,Normal,Dog,Intact Male,9 months,Golden Retriever/Standard Poodle,Gold,1,70402,A676201,Duke,04/08/2014 11:30:00 AM,04/08/2014 11:30:00 AM,06/06/2013,Return to Owner,,Dog,Intact Male,10 months,Golden Retriever/Standard Poodle,Gold,304,Dog
