intake_index,animal_id,name,datetime,monthyear,found_location,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color,los,outcome_index,outcome_animal_id,outcome_name,outcome_datetime,outcome_monthyear,outcome_date_of_birth,outcome_type,outcome_subtype,outcome_animal_type,sex_upon_outcome,age_upon_outcome,outcome_breed,outcome_color,days_old,species
118,A706067,,06/24/2015 12:17:00 PM,06/24/2015 12:17:00 PM,5702 Richmond Ave in Austin (TX),Stray,Normal,Kitten,Intact Male,3 weeks,Domestic Shorthair Mix,White/Black,5,77940,A706067,,06/29/2015 01:55:00 PM,06/29/2015 01:55:00 PM,05/30/2015,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Black,25,Cat
119,A664519,,10/04/2013 04:20:00 PM,10/04/2013 04:20:00 PM,9611 Decker Lake Rd in Travis (TX),Stray,Normal,Dog,Intact Male,6 years,Carolina Dog Mix,Sable,5,27156,A664519,,10/10/2013 11:45:00 AM,10/10/2013 11:45:00 AM,10/04/2007,Euthanasia,Aggressive,Dog,Intact Male,6 years,Carolina Dog Mix,Sable,2192,Dog
120,A667606,*Treasure,11/20/2013 12:29:00 PM,11/20/2013 12:29:00 PM,6806 Thistle Hill Way in Travis (TX),Stray,Normal,Kitten,Intact Female,1 month,Domestic Shorthair Mix,Torbie,60,3089,A667606,*Treasure,01/19/2014 04:47:00 PM,01/19/2014 04:47:00 PM,10/10/2013,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie,41,Cat
121,A695308,Dolly,01/13/2015 02:19:00 PM,01/13/2015 02:19:00 PM,Magna Carta Loop And Breeds Hill in Austin (TX),Stray,Normal,Dog,Spayed Female,13 years,Chihuahua Shorthair/Rat Terrier,White/Tricolor,1,45575,A695308,Dolly,01/14/2015 02:19:00 PM,01/14/2015 02:19:00 PM,01/13/2002,Return to Owner,,Dog,Spayed Female,13 years,Chihuahua Shorthair/Rat Terrier,White/Tricolor,4748,Dog
122,A748617,*Gullah,05/04/2017 03:41:00 PM,05/04/2017 03:41:00 PM,1701 Oak Hill Ln in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Cream/White,5,7362,A748617,*Gullah,05/10/2017 02:14:00 PM,05/10/2017 02:14:00 PM,05/04/2015,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Cream/White,731,Dog
123,A667358,Sheba,11/16/2013 03:25:00 PM,11/16/2013 03:25:00 PM,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black,34,26576,A667358,Sheba,12/20/2013 04:13:00 PM,12/20/2013 04:13:00 PM,10/24/2012,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Black,388,Dog
124,A710491,*Cupcake,08/24/2015 08:40:00 AM,08/24/2015 08:40:00 AM,5338 Thunder Creek in Austin (TX),Stray,Normal,Kitten,Intact Female,4 weeks,Domestic Longhair Mix,Black/White,67,61924,A710491,*Cupcake,10/31/2015 07:48:00 AM,10/31/2015 07:48:00 AM,07/24/2015,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black/White,31,Cat
125,A684554,Cupcake,07/25/2014 12:51:00 PM,07/25/2014 12:51:00 PM,Spruce Gum And Deer Run in Austin (TX),Stray,Normal,Puppy,Intact Female,4 months,Boxer Mix,Brown/White,4,55833,A684554,Cupcake,07/29/2014 04:21:00 PM,07/29/2014 04:21:00 PM,03/25/2014,Adoption,,Dog,Spayed Female,4 months,Boxer Mix,Brown/White,122,Dog
126,A766218,Gizmo,02/04/2018 03:57:00 PM,02/04/2018 03:57:00 PM,Springdale Road And Ledesma in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Pekingese Mix,Tricolor,0,44028,A766218,Gizmo,02/05/2018 12:03:00 PM,02/05/2018 12:03:00 PM,09/23/2007,Return to Owner,,Dog,Neutered Male,10 years,Pekingese Mix,Tricolor,3787,Dog
127,A779895,*Ginger,09/06/2018 02:01:00 PM,09/06/2018 02:01:00 PM,12100 Tunnel Trail in Austin (TX),Stray,Normal,Kitten,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,6,24180,A779895,*Ginger,09/12/2018 06:35:00 PM,09/12/2018 06:35:00 PM,08/06/2018,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby,31,Cat
